lambda,rep,t2star_us,n_points,fit_meta
0.9,7,6.933724174691496,15,"{""a"": 0.04681212766845458, ""c"": 0.9450847285035969, ""r2"": 0.7436625072061063}"
0.9,8,5.987058023731362,15,"{""a"": 0.04547440315775288, ""c"": 0.9460854340759277, ""r2"": 0.6750771767692529}"
0.9,9,6.894794428048165,15,"{""a"": 0.04599014765763056, ""c"": 0.9448157642280641, ""r2"": 0.7162219632844704}"
1.0,0,,15,"{""reason"": ""constant_visibility""}"
1.0,1,,15,"{""reason"": ""constant_visibility""}"
1.0,2,,15,"{""reason"": ""constant_visibility""}"
1.0,3,,15,"{""reason"": ""constant_visibility""}"
1.0,4,,15,"{""reason"": ""constant_visibility""}"
1.0,5,,15,"{""reason"": ""constant_visibility""}"
1.0,6,,15,"{""reason"": ""constant_visibility""}"
1.0,7,,15,"{""reason"": ""constant_visibility""}"
1.0,8,,15,"{""reason"": ""constant_visibility""}"
1.0,9,,15,"{""reason"": ""constant_visibility""}"
