kind,delay_us,rounds,branch,shots,counts_json,p00,p11,p01,p10,rep
QUANTUM_XBASIS,100.0,10,quantum,2000,"{""11"": 567, ""10"": 444, ""01"": 481, ""00"": 508}",0.254,0.2835,0.2405,0.222,9
QUANTUM_XBASIS,120.0,10,quantum,2000,"{""10"": 495, ""00"": 494, ""01"": 474, ""11"": 537}",0.247,0.2685,0.237,0.2475,9
QUANTUM_XBASIS,140.0,10,quantum,2000,"{""11"": 509, ""00"": 532, ""01"": 475, ""10"": 484}",0.266,0.2545,0.2375,0.242,9
QUANTUM_XBASIS,160.0,10,quantum,2000,"{""01"": 487, ""11"": 504, ""00"": 518, ""10"": 491}",0.259,0.252,0.2435,0.2455,9
QUANTUM_XBASIS,180.0,10,quantum,2000,"{""00"": 531, ""01"": 480, ""10"": 505, ""11"": 484}",0.2655,0.242,0.24,0.2525,9
QUANTUM_XBASIS,200.0,10,quantum,2000,"{""10"": 507, ""01"": 502, ""00"": 475, ""11"": 516}",0.2375,0.258,0.251,0.2535,9
CLASSICAL_XBASIS,0.0,10,classical,2000,"{""10"": 516, ""01"": 507, ""00"": 515, ""11"": 462}",0.2575,0.231,0.2535,0.258,9
CLASSICAL_XBASIS,8.333333333333334,10,classical,2000,"{""01"": 500, ""10"": 459, ""11"": 518, ""00"": 523}",0.2615,0.259,0.25,0.2295,9
CLASSICAL_XBASIS,16.666666666666668,10,classical,2000,"{""10"": 527, ""01"": 475, ""11"": 536, ""00"": 462}",0.231,0.268,0.2375,0.2635,9
CLASSICAL_XBASIS,25.0,10,classical,2000,"{""00"": 493, ""01"": 498, ""11"": 483, ""10"": 526}",0.2465,0.2415,0.249,0.263,9
