basis,lambda,rep,t2star_us,amplitude,n_points,fit_meta
ZBASIS,0.6000000000000001,2,8.088551617361635,0.29060694832638756,15,"{""a"": 0.29060694832638756, ""c"": 0.5201901333809278, ""r2"": 0.19603294499152246, ""T"": 8.088551617361635}"
ZBASIS,0.6000000000000001,3,13.552371773124237,0.3131337285567742,15,"{""a"": 0.3131337285567742, ""c"": 0.4901069627977903, ""r2"": 0.15785234237438062, ""T"": 13.552371773124237}"
ZBASIS,0.6000000000000001,5,5.942978822458375,0.283771848050561,15,"{""a"": 0.283771848050561, ""c"": 0.4974418372545249, ""r2"": 0.11071445058627183, ""T"": 5.942978822458375}"
ZBASIS,0.6000000000000001,6,10.555507143490683,0.3026769209091905,15,"{""a"": 0.3026769209091905, ""c"": 0.46991728865547167, ""r2"": 0.13184247780969727, ""T"": 10.555507143490683}"
ZBASIS,0.6000000000000001,7,8.436138699594196,0.2998233565143118,15,"{""a"": 0.2998233565143118, ""c"": 0.5069388260399711, ""r2"": 0.1589256451081985, ""T"": 8.436138699594196}"
ZBASIS,0.6000000000000001,8,18.778650674787723,0.39879194214909,15,"{""a"": 0.39879194214909, ""c"": 0.4435959124038914, ""r2"": 0.2595273539130244, ""T"": 18.778650674787723}"
ZBASIS,0.7000000000000001,1,0.22519718917566323,0.32312456925106037,15,"{""a"": 0.32312456925106037, ""c"": 0.45467465832395815, ""r2"": 0.14485921339656216, ""T"": 0.22519718917566323}"
ZBASIS,0.7000000000000001,2,7.67717482749354,0.2911685604214644,15,"{""a"": 0.2911685604214644, ""c"": 0.5232754849978163, ""r2"": 0.1474066222928463, ""T"": 7.67717482749354}"
ZBASIS,0.7000000000000001,3,14.525819965027411,0.3174010542932329,15,"{""a"": 0.3174010542932329, ""c"": 0.4861486573992692, ""r2"": 0.13095111780755175, ""T"": 14.525819965027411}"
ZBASIS,0.7000000000000001,5,5.242883776250157,0.2842058665778995,15,"{""a"": 0.2842058665778995, ""c"": 0.4960962174282599, ""r2"": 0.08744281401729981, ""T"": 5.242883776250157}"
ZBASIS,0.7000000000000001,7,8.2618003079726,0.2983788001134159,15,"{""a"": 0.2983788001134159, ""c"": 0.5087800960753934, ""r2"": 0.12208801440123662, ""T"": 8.2618003079726}"
ZBASIS,0.7000000000000001,8,20.074341751177187,0.41542129903487224,15,"{""a"": 0.41542129903487224, ""c"": 0.4356055928355812, ""r2"": 0.23059329451798594, ""T"": 20.074341751177187}"
ZBASIS,0.7000000000000001,9,174.5226464363355,-0.17768352249538574,15,"{""a"": -0.17768352249538574, ""c"": 0.7678737784540721, ""r2"": 0.06405885598903771, ""T"": 174.5226464363355}"
ZBASIS,0.8,1,6.6312044428318755,0.3457261099002487,15,"{""a"": 0.3457261099002487, ""c"": 0.4357713592626428, ""r2"": 0.1371705748390255, ""T"": 6.6312044428318755}"
ZBASIS,0.8,2,7.34064112091845,0.2917916546468664,15,"{""a"": 0.2917916546468664, ""c"": 0.5261937815988117, ""r2"": 0.11373613438824415, ""T"": 7.34064112091845}"
ZBASIS,0.8,3,15.4989299838812,0.32225732928975415,15,"{""a"": 0.32225732928975415, ""c"": 0.4820571473061226, ""r2"": 0.1109850513182935, ""T"": 15.4989299838812}"
ZBASIS,0.8,7,8.115120883888194,0.29687108564296627,15,"{""a"": 0.29687108564296627, ""c"": 0.5105631954187093, ""r2"": 0.09568528479733751, ""T"": 8.115120883888194}"
