lambda,rep,t2star_us,amplitude,n_points,fit_meta
0.4,6,9.72170942083697,0.4270434942735855,15,"{""a"": 0.4270434942735855, ""c"": 0.48493104807751825, ""r2"": 0.6890662726264599, ""T"": 9.72170942083697}"
0.4,7,8.913480295899179,0.4124011363959026,15,"{""a"": 0.4124011363959026, ""c"": 0.4982295100939926, ""r2"": 0.7200124402836667, ""T"": 8.913480295899179}"
0.4,8,9.756275306578996,0.4339193035925001,15,"{""a"": 0.4339193035925001, ""c"": 0.48815738240885087, ""r2"": 0.7207438950859237, ""T"": 9.756275306578996}"
0.4,9,10.514473273215177,0.43460561296648675,15,"{""a"": 0.43460561296648675, ""c"": 0.49228841458199685, ""r2"": 0.7316800907332509, ""T"": 10.514473273215177}"
0.5,0,9.417364852128545,0.4339047006093092,15,"{""a"": 0.4339047006093092, ""c"": 0.4891185209835898, ""r2"": 0.7159687164404501, ""T"": 9.417364852128545}"
0.5,1,9.121525889699765,0.40631219321678624,15,"{""a"": 0.40631219321678624, ""c"": 0.4838057610186312, ""r2"": 0.7244425891112278, ""T"": 9.121525889699765}"
0.5,2,9.581924767494327,0.4189645141258136,15,"{""a"": 0.4189645141258136, ""c"": 0.49703440200951865, ""r2"": 0.6902200496917869, ""T"": 9.581924767494327}"
0.5,3,9.168593319861124,0.4312170580876264,15,"{""a"": 0.4312170580876264, ""c"": 0.4849519892976907, ""r2"": 0.678574579007267, ""T"": 9.168593319861124}"
0.5,4,9.108065385471377,0.4217688668635199,15,"{""a"": 0.4217688668635199, ""c"": 0.48306186164559767, ""r2"": 0.7004707690728933, ""T"": 9.108065385471377}"
0.5,5,9.374244124949358,0.44205014404488596,15,"{""a"": 0.44205014404488596, ""c"": 0.4795360823975088, ""r2"": 0.7289941317820254, ""T"": 9.374244124949358}"
0.5,6,9.738118423179307,0.4318902593588307,15,"{""a"": 0.4318902593588307, ""c"": 0.4895843036356725, ""r2"": 0.7204548775467376, ""T"": 9.738118423179307}"
0.5,7,9.727181837914818,0.40653755911345385,15,"{""a"": 0.40653755911345385, ""c"": 0.4939533841099044, ""r2"": 0.6950226405895834, ""T"": 9.727181837914818}"
0.5,8,9.569421863338988,0.4212540534625807,15,"{""a"": 0.4212540534625807, ""c"": 0.5000110540677231, ""r2"": 0.708315496957375, ""T"": 9.569421863338988}"
0.5,9,9.571602486620698,0.42802013166645025,15,"{""a"": 0.42802013166645025, ""c"": 0.49149571585797175, ""r2"": 0.7391496001814457, ""T"": 9.571602486620698}"
0.6,0,8.934514706049317,0.4268057772832609,15,"{""a"": 0.4268057772832609, ""c"": 0.4880497922200244, ""r2"": 0.6705501675828862, ""T"": 8.934514706049317}"
0.6,1,9.260689315772836,0.4383209958929021,15,"{""a"": 0.4383209958929021, ""c"": 0.4862602811621503, ""r2"": 0.757283517271083, ""T"": 9.260689315772836}"
0.6,2,9.919518425350063,0.4402088042504829,15,"{""a"": 0.4402088042504829, ""c"": 0.4868266163826052, ""r2"": 0.7490972526223638, ""T"": 9.919518425350063}"
0.6,3,9.779643897524007,0.43514174245974985,15,"{""a"": 0.43514174245974985, ""c"": 0.48553999348592225, ""r2"": 0.7022834844348356, ""T"": 9.779643897524007}"
0.6,4,0.33814127753613754,0.39535714280310624,15,"{""a"": 0.39535714280310624, ""c"": 0.5076428571459396, ""r2"": 0.573265060737246, ""T"": 0.33814127753613754}"
0.6,5,9.217894175117806,0.4251549574917721,15,"{""a"": 0.4251549574917721, ""c"": 0.49167313876135843, ""r2"": 0.6891431005737276, ""T"": 9.217894175117806}"
0.6,6,10.299962247342448,0.42294022549138316,15,"{""a"": 0.42294022549138316, ""c"": 0.48398379477873266, ""r2"": 0.7284650484058512, ""T"": 10.299962247342448}"
0.6,7,9.290234423250496,0.4326349251269406,15,"{""a"": 0.4326349251269406, ""c"": 0.48340385609864783, ""r2"": 0.6794849760441305, ""T"": 9.290234423250496}"
0.6,8,9.399971354641913,0.44754299577130274,15,"{""a"": 0.44754299577130274, ""c"": 0.488696058568143, ""r2"": 0.7375782844239855, ""T"": 9.399971354641913}"
0.6,9,8.48960142654492,0.4213093613671891,15,"{""a"": 0.4213093613671891, ""c"": 0.49250105577113595, ""r2"": 0.6466016876656722, ""T"": 8.48960142654492}"
0.7,0,8.987949448487923,0.4110072725956189,15,"{""a"": 0.4110072725956189, ""c"": 0.49755627113471557, ""r2"": 0.695280579486486, ""T"": 8.987949448487923}"
0.7,1,8.673331248091477,0.4218991064825112,15,"{""a"": 0.4218991064825112, ""c"": 0.494668160472095, ""r2"": 0.6981691939470074, ""T"": 8.673331248091477}"
0.7,2,8.951025478893541,0.4259105776776087,15,"{""a"": 0.4259105776776087, ""c"": 0.4874295105554499, ""r2"": 0.7027383055313878, ""T"": 8.951025478893541}"
0.7,3,8.881145161037155,0.4475453670831239,15,"{""a"": 0.4475453670831239, ""c"": 0.48801465173068237, ""r2"": 0.7162270712606844, ""T"": 8.881145161037155}"
0.7,4,9.831934534773731,0.4174029566670022,15,"{""a"": 0.4174029566670022, ""c"": 0.4945706434092621, ""r2"": 0.6551509823869068, ""T"": 9.831934534773731}"
0.7,5,8.547705207921611,0.43393454314252083,15,"{""a"": 0.43393454314252083, ""c"": 0.48423700308749174, ""r2"": 0.7343157251450618, ""T"": 8.547705207921611}"
0.7,6,9.06109939005699,0.4335148829063044,15,"{""a"": 0.4335148829063044, ""c"": 0.4899738304145092, ""r2"": 0.6916447118700046, ""T"": 9.06109939005699}"
0.7,7,9.493164167132054,0.43780000977330674,15,"{""a"": 0.43780000977330674, ""c"": 0.4837636743626257, ""r2"": 0.7194278957524247, ""T"": 9.493164167132054}"
0.7,8,9.963196640807071,0.4152204902195494,15,"{""a"": 0.4152204902195494, ""c"": 0.4894190930987623, ""r2"": 0.7387791149216261, ""T"": 9.963196640807071}"
0.7,9,8.614736164903167,0.41868734089139037,15,"{""a"": 0.41868734089139037, ""c"": 0.48992868311944693, ""r2"": 0.7040430423350308, ""T"": 8.614736164903167}"
0.8,0,9.428383710581292,0.4412967179164031,15,"{""a"": 0.4412967179164031, ""c"": 0.4871773388100728, ""r2"": 0.7289206643968317, ""T"": 9.428383710581292}"
0.8,1,8.010234309939456,0.4122544402652545,15,"{""a"": 0.4122544402652545, ""c"": 0.500978530056159, ""r2"": 0.6625708126026388, ""T"": 8.010234309939456}"
0.8,2,8.235261119559308,0.43685249292506434,15,"{""a"": 0.43685249292506434, ""c"": 0.49685905238914335, ""r2"": 0.743801882325603, ""T"": 8.235261119559308}"
0.8,3,9.06868466644675,0.4287219231894525,15,"{""a"": 0.4287219231894525, ""c"": 0.4958807537195597, ""r2"": 0.7163437090335637, ""T"": 9.06868466644675}"
0.8,4,9.433492086558783,0.4446914086856559,15,"{""a"": 0.4446914086856559, ""c"": 0.4775084969205554, ""r2"": 0.6813843975779244, ""T"": 9.433492086558783}"
