label,rep,t2star_us,n_points,kind_set,lambda,fit_meta
L08,7,33.89334619588989,14,BELL_MIXED,0.9000000000000001,"{""a"": 0.1664229841938131, ""c"": 0.2799439352230761, ""r2"": 0.010506343184577993}"
L08,8,0.2745892221732086,14,BELL_MIXED,0.9000000000000001,"{""a"": 0.7033461529247009, ""c"": 0.27915384707503266, ""r2"": 0.11868532302149004}"
L08,9,32.59761630674346,14,BELL_MIXED,0.9000000000000001,"{""a"": 0.15644896069922334, ""c"": 0.28463799808618717, ""r2"": 0.009249162598269134}"
L09,0,18.493021592656973,14,BELL_MIXED,1.0,"{""a"": 0.44128106016751106, ""c"": 0.5645116020173724, ""r2"": 0.8648338212613291}"
L09,1,17.103370881980922,14,BELL_MIXED,1.0,"{""a"": 0.4317246662902777, ""c"": 0.5651123694725694, ""r2"": 0.8615734598301924}"
L09,2,18.03563293442909,14,BELL_MIXED,1.0,"{""a"": 0.43736035871482043, ""c"": 0.5678899349888238, ""r2"": 0.8491114582054584}"
L09,3,18.010545963848422,14,BELL_MIXED,1.0,"{""a"": 0.4448031008514781, ""c"": 0.5599010029590233, ""r2"": 0.8912696468524205}"
L09,4,17.98375212319784,14,BELL_MIXED,1.0,"{""a"": 0.4353036172916423, ""c"": 0.5700160865869646, ""r2"": 0.8677223572317185}"
L09,5,17.974081450509296,14,BELL_MIXED,1.0,"{""a"": 0.4367037622296252, ""c"": 0.5661754024590664, ""r2"": 0.8814242271156979}"
L09,6,18.464649699607783,14,BELL_MIXED,1.0,"{""a"": 0.4340594213820593, ""c"": 0.5709505520381235, ""r2"": 0.8402623213730382}"
L09,7,17.825174705548513,14,BELL_MIXED,1.0,"{""a"": 0.43531296369925454, ""c"": 0.5686736697503972, ""r2"": 0.8553361537300543}"
L09,8,18.290032588818693,14,BELL_MIXED,1.0,"{""a"": 0.43228751845090724, ""c"": 0.5756514827634778, ""r2"": 0.8639274367368219}"
L09,9,17.020253681964967,14,BELL_MIXED,1.0,"{""a"": 0.43623199280679625, ""c"": 0.5730730986265791, ""r2"": 0.8724308081703577}"
L10,0,0.07996943323118777,14,BELL_MIXED,0.29999999999999993,"{""a"": -0.9348458454936301, ""c"": -0.05515386922147335, ""r2"": 0.21129314143143885}"
L10,1,0.0004777149330967845,14,BELL_MIXED,0.29999999999999993,"{""a"": -0.9399446389672889, ""c"": -0.04807529728047769, ""r2"": 0.20910492837942785}"
L10,2,0.021827030361837113,14,BELL_MIXED,0.29999999999999993,"{""a"": -0.9458076923076906, ""c"": -0.04619230769230798, ""r2"": 0.2103676849835091}"
L10,3,0.1475777896870083,14,BELL_MIXED,0.29999999999999993,"{""a"": -0.9351424791749343, ""c"": -0.053829273842516324, ""r2"": 0.20778827580206327}"
L10,4,0.23405479119586692,14,BELL_MIXED,0.29999999999999993,"{""a"": -0.9386090080538356, ""c"": -0.051920679469824746, ""r2"": 0.21034322948327355}"
L10,5,0.06138134617528118,14,BELL_MIXED,0.29999999999999993,"{""a"": -0.9490769052734713, ""c"": -0.04342307831830769, ""r2"": 0.20985110700038057}"
L10,6,0.17896016922365116,14,BELL_MIXED,0.29999999999999993,"{""a"": -0.9403836184759214, ""c"": -0.050615458961681944, ""r2"": 0.21377432457144885}"
L10,7,0.07888196522854568,14,BELL_MIXED,0.29999999999999993,"{""a"": -0.9374230665450987, ""c"": -0.05507692625656114, ""r2"": 0.20885494982813468}"
L10,8,0.08895636143831359,14,BELL_MIXED,0.29999999999999993,"{""a"": -0.9339615479970336, ""c"": -0.05853846097700143, ""r2"": 0.2109611245731431}"
L10,9,0.11665465948151649,14,BELL_MIXED,0.29999999999999993,"{""a"": -0.9439190790419976, ""c"": -0.04861257451664671, ""r2"": 0.21021276882198325}"
